"celebs_followed","num_users"
0,210182
1,75304
2,50872
3,39076
4,31806
5,27170
6,23174
7,20101
8,17223
9,15537
10,13764
11,12481
12,11369
13,10492
14,9274
15,8637
16,7795
17,7259
18,6870
19,6110
20,5799
21,5416
22,5098
23,4817
24,4434
25,4172
26,3858
27,3711
28,3359
29,3306
30,3156
31,2871
32,2707
33,2711
34,2463
35,2301
36,2223
37,2127
38,1988
39,1919
40,1787
41,1763
42,1592
43,1584
44,1505
45,1406
46,1418
47,1267
48,1179
49,1155
50,1105
51,1137
52,1026
53,982
54,941
55,923
56,899
57,830
58,824
59,786
60,756
61,709
62,666
63,684
64,616
65,646
66,584
67,563
68,537
69,560
70,540
71,493
72,478
73,434
74,436
75,430
76,412
77,388
78,380
79,371
80,335
81,350
82,298
83,336
84,311
85,279
86,301
87,305
88,289
89,265
90,274
91,235
92,248
93,243
94,243
95,225
96,210
97,199
98,176
99,217
100,200
101,197
102,167
103,181
104,169
105,168
106,180
107,158
108,155
109,145
110,127
111,153
112,112
113,114
114,135
115,114
116,133
117,129
118,121
119,124
120,114
121,106
122,105
123,89
124,89
125,98
126,95
127,91
128,74
129,83
130,101
131,89
132,67
133,69
134,71
135,77
136,77
137,84
138,72
139,78
140,65
141,62
142,62
143,61
144,60
145,64
146,37
147,59
148,53
149,42
150,46
151,41
152,61
153,48
154,57
155,45
156,55
157,33
158,43
159,55
160,36
161,32
162,47
163,44
164,28
165,36
166,40
167,35
168,27
169,35
170,23
171,40
172,31
173,35
174,29
175,37
176,29
177,30
178,35
179,24
180,22
181,35
182,20
183,21
184,32
185,18
186,23
187,18
188,20
189,22
190,20
191,15
192,21
193,17
194,18
195,19
196,25
197,15
198,17
199,22
200,10
201,17
202,15
203,8
204,10
205,12
206,20
207,11
208,15
209,13
210,12
211,13
212,7
213,12
214,10
215,8
216,2
217,11
218,8
219,10
220,8
221,13
222,14
223,5
224,10
225,4
226,15
227,17
228,7
229,6
230,10
231,7
232,6
233,4
234,6
235,8
236,6
237,3
238,2
239,3
240,7
241,6
242,6
243,8
244,12
245,9
246,2
247,2
248,3
249,4
250,5
251,2
252,2
253,4
254,7
255,15
256,2
257,5
258,6
259,5
260,5
261,5
262,4
263,3
264,6
265,7
266,5
267,2
268,2
269,3
270,1
271,4
272,2
273,3
274,1
275,3
276,3
278,3
279,1
280,1
281,4
282,3
283,2
284,1
285,4
286,3
287,4
288,1
289,1
290,2
291,4
292,1
293,3
294,1
295,2
296,1
297,1
298,1
299,1
300,4
302,2
303,1
306,2
310,1
311,1
312,2
313,1
317,1
319,1
321,1
323,1
324,2
326,1
328,1
329,1
330,1
331,1
335,1
337,1
343,1
352,1
353,1
354,1
356,1
357,2
362,1
364,1
365,1
366,1
374,1
395,2
406,1
429,1
609,1
664,1
